,Normalized Job Title,Job Titles
414,计算机,['计算机软件开发']
415,计算机编程老师,['计算机编程老师']
416,财务,['财务软件工程师']
417,资深,['资深软件工程师']
418,资深net,['资深.NET开发工程师' '资深.net开发工程师']
419,资深python,['资深python开发工程师']
420,资深后端,['资深后端开发工程师']
421,资深大数据,['资深大数据工程师']
422,资深大数据存储研发hdfs研发专家,['资深大数据存储研发工程师/HDFS研发专家']
423,资深沙盒系统,['资深沙盒系统开发工程师']
424,资讯系统及应用,['资讯系统及应用开发工程师']
425,运维,['运维工程师']
426,运维大数据,['运维开发工程师(大数据）']
427,采集配置j10017,['采集配置工程师(J10017)']
428,量化交易员,['量化交易员']
429,量化策略研究员,['量化策略研究员']
430,量化系统,['量化系统开发工程师']
431,金蝶erp二次,['金蝶ERP二次开发工程师']
432,金蝶k3cioud二次,['金蝶K3CIoud二次开发工程师']
433,金蝶net,['金蝶.NET开发工程师']
434,金融大数据专家,['金融大数据专家']
435,金融量化,['金融量化工程师']
436,阿里云可观测研发,['阿里云可观测研发工程师']
437,青少年科技编程竞赛老师 全兼职北京,['青少年科技编程/竞赛老师 全/兼职北京']
438,高级,['高级软件开发工程师' '高级软件工程师']
439,高级 net core  深圳,['高级 .NET Core 开发工程师 (深圳)']
440,高级aspnet,['高级ASP.NET开发工程师']
441,高级hadoop,['高级Hadoop开发工程师' '高级hadoop工程师']
442,高级net,['高级.net开发工程师' '高级NET开发工程师' '高级.net开发' '高级net开发工程师']
443,高级net专家,['高级.net开发工程师/专家']
444,高级python,['高级python开发工程师' '高级python工程师' '高级Python开发工程师' '高级Python工程师']
445,高级上位机,['高级软件工程师（上位机）']
446,高级五险一金周末双休1520k,['高级开发工程师(五险一金/周末双休/15~20K)']
447,高级后台深圳,['高级后台开发工程师（深圳）']
448,高级后台用户增长,['高级后台开发工程师（用户增长）']
449,高级后端,['高级后端开发工程师' '高级后端软件工程师' '高级后端工程师']
450,高级大数据,['高级大数据开发工程师' '高级大数据工程师']
